San Luis Valley Regional Medical Center,Alamosa,Alamosa
Aspen Valley Hospital,Pitkin,Aspen
Children's Hospital Colorado,Adams,Aurora
The Medical Center of Aurora,Arapahoe,Aurora
Spalding Rehabilitation Hospital,Arapahoe,Aurora
Kindred Hospital Aurora,Arapahoe,Aurora
University of Colorado Hospital Anschutz Inpatient Pavilion,Adams,Aurora
Boulder Community Foothills Hospital,Boulder,Boulder
Boulder Community Hospital,Boulder,Boulder
St. Anthony Breckenridge Community Clinic Emergency Center,Summit,Breckenridge
Platte Valley Medical Center,Adams,Brighton
East Morgan County Hospital,Morgan,Brush
Kit Carson County Memorial Hospital,Kit Carson,Burlington
Saint Thomas More Hospital,Fremont,Caon City
Castle Rock Adventist Health Campus,Douglas,Castle Rock
Keefe Memorial Hospital,Cheyenne,Cheyenne Wells
Cedar Springs Behavioral Hospital,El Paso,Colorado Springs
HealthSouth Rehabilitation Hospital of Colorado Springs,El Paso,Colorado Springs
Memorial Health System,El Paso,Colorado Springs
Memorial Health System,El Paso,Colorado Springs
Peak View Behavioral Health,El Paso,Colorado Springs
Penrose Hospital,El Paso,Colorado Springs
St. Francis Medical Center,El Paso,Colorado Springs
Select Long Term Care Hospital - Colorado Springs,El Paso,Colorado Springs
Southwest Memorial Hospital,Montezuma,Cortez
The Memorial Hospital,Moffat,Craig
Rio Grande Hospital,Rio Grande,Del Norte
Delta County Memorial Hospital,Delta,Delta
Colorado Acute Long Term Hospital,Denver,Denver
Colorado Mental Health Institute at Fort Logan,Denver,Denver
Denver Health Medical Center,Denver,Denver
Eating Recovery Center a Behavioral Hospital,Denver,Denver
Eating Recovery Center a Behavioral Hospital for Children and Adolescents,Denver,Denver
Exempla Saint Joseph Hospital,Denver,Denver
Kindred Hospital - Denver,Denver,Denver
National Jewish Health,Denver,Denver
Porter Adventist Hospital,Denver,Denver
Presbyterian/St. Luke's Medical Center,Denver,Denver
Rose Medical Center,Denver,Denver
Select Specialty Hospital - Denver,Denver,Denver
Select Specialty Hospital Denver South Campus,Denver,Denver
Animas Surgical Hospital,La Plata,Durango
